Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_DDT,Chrome 128.0.0.0,,,2024-09-23 12:31:47,2024-09-23 12:32:42,54.871s,FAILED
,,,,,,,
Test Cases/Login_Positive/Login_Positive_DDT,Chrome 128.0.0.0,,,2024-09-23 12:31:47,2024-09-23 12:31:55,7.970s,FAILED
"openBrowser("""")",Chrome 128.0.0.0,,,2024-09-23 12:31:47,2024-09-23 12:31:49,2.072s,PASSED
navigateToUrl(URL),Chrome 128.0.0.0,,,2024-09-23 12:31:49,2024-09-23 12:31:53,3.886s,PASSED
"click(findTestObject(""Object Repository/Login/Input_Username""))",Chrome 128.0.0.0,,,2024-09-23 12:31:53,2024-09-23 12:31:54,0.393s,PASSED
"setText(findTestObject(""Object Repository/Login/Input_Username""), Username)",Chrome 128.0.0.0,,,2024-09-23 12:31:54,2024-09-23 12:31:54,0.624s,PASSED
"click(findTestObject(""Object Repository/Login/Input_Password""))",Chrome 128.0.0.0,,,2024-09-23 12:31:54,2024-09-23 12:31:55,0.322s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Input_Password""), Password)",Chrome 128.0.0.0,,,2024-09-23 12:31:55,2024-09-23 12:31:55,0.303s,FAILED
,,,,,,,
Test Cases/Login_Positive/Login_Positive_DDT,Chrome 128.0.0.0,,,2024-09-23 12:31:55,2024-09-23 12:32:03,7.704s,FAILED
"openBrowser("""")",Chrome 128.0.0.0,,,2024-09-23 12:31:55,2024-09-23 12:31:57,1.819s,PASSED
navigateToUrl(URL),Chrome 128.0.0.0,,,2024-09-23 12:31:57,2024-09-23 12:32:01,4.256s,PASSED
"click(findTestObject(""Object Repository/Login/Input_Username""))",Chrome 128.0.0.0,,,2024-09-23 12:32:01,2024-09-23 12:32:01,0.353s,PASSED
"setText(findTestObject(""Object Repository/Login/Input_Username""), Username)",Chrome 128.0.0.0,,,2024-09-23 12:32:01,2024-09-23 12:32:02,0.645s,PASSED
"click(findTestObject(""Object Repository/Login/Input_Password""))",Chrome 128.0.0.0,,,2024-09-23 12:32:02,2024-09-23 12:32:02,0.337s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Input_Password""), Password)",Chrome 128.0.0.0,,,2024-09-23 12:32:02,2024-09-23 12:32:03,0.283s,FAILED
,,,,,,,
Test Cases/Login_Positive/Login_Positive_DDT,Chrome 128.0.0.0,,,2024-09-23 12:32:03,2024-09-23 12:32:42,38.863s,FAILED
"openBrowser("""")",Chrome 128.0.0.0,,,2024-09-23 12:32:03,2024-09-23 12:32:05,1.849s,PASSED
navigateToUrl(URL),Chrome 128.0.0.0,,,2024-09-23 12:32:05,2024-09-23 12:32:08,3.527s,PASSED
"click(findTestObject(""Object Repository/Login/Input_Username""))",Chrome 128.0.0.0,,,2024-09-23 12:32:08,2024-09-23 12:32:08,0.360s,PASSED
"setText(findTestObject(""Object Repository/Login/Input_Username""), Username)",Chrome 128.0.0.0,,,2024-09-23 12:32:08,2024-09-23 12:32:09,0.661s,PASSED
"click(findTestObject(""Object Repository/Login/Input_Password""))",Chrome 128.0.0.0,,,2024-09-23 12:32:09,2024-09-23 12:32:09,0.323s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Input_Password""), Password)",Chrome 128.0.0.0,,,2024-09-23 12:32:09,2024-09-23 12:32:10,0.344s,PASSED
"click(findTestObject(""Object Repository/Login/button_Login""))",Chrome 128.0.0.0,,,2024-09-23 12:32:10,2024-09-23 12:32:10,0.332s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Login/PopUp_Signed in successfully""))",Chrome 128.0.0.0,,,2024-09-23 12:32:10,2024-09-23 12:32:42,31.456s,FAILED
